date,AAPL,AMZN,GOOGL,MSFT
2024-01-02,185.6399994,149.9299927,138.1699982,370.8699951
2024-01-03,184.25,148.4700012,138.9199982,370.6000061
2024-01-04,181.9100037,144.5700073,136.3899994,367.9400024
2024-01-05,181.1799927,145.2400055,135.7299957,367.75
2024-01-08,185.5599976,149.1000061,138.8399963,374.6900024
2024-01-09,185.1399994,151.3699951,140.9499969,375.7900085
2024-01-10,186.1900024,153.7299957,142.2799988,382.769989
2024-01-11,185.5899963,155.1799927,142.0800018,384.6300049
2024-01-12,185.9199982,154.6199951,142.6499939,388.4700012
2024-01-16,183.6300049,153.1600037,142.4900055,390.269989
2024-01-17,182.6799927,151.7100067,141.4700012,389.4700012
2024-01-18,188.6300049,153.5,143.4799957,393.8699951
2024-01-19,191.5599976,155.3399963,146.3800049,398.6700134
2024-01-22,193.8899994,154.7799988,145.9900055,396.5100098
2024-01-23,195.1799927,156.0200043,147.0399933,398.8999939
2024-01-24,194.5,156.8699951,148.6999969,402.5599976
2024-01-25,194.1699982,157.75,151.8699951,404.8699951
2024-01-26,192.4199982,159.1199951,152.1900024,403.9299927
2024-01-29,191.7299957,161.2599945,153.5099945,409.7200012
2024-01-30,188.0399933,159.0,151.4600067,408.5899963
2024-01-31,184.3999939,155.1999969,140.1000061,397.5799866
2024-02-01,186.8600006,159.2799988,141.1600037,403.7799988
2024-02-02,185.8500061,171.8099976,142.3800049,411.2200012
2024-02-05,187.6799927,170.3099976,143.6799927,405.6499939
2024-02-06,189.3000031,169.1499939,144.1000061,405.4899902
2024-02-07,189.4100037,170.5299988,145.5399933,414.0499878
2024-02-08,188.3200073,169.8399963,145.9100037,414.1099854
2024-02-09,188.8500061,174.4499969,149.0,420.5499878
2024-02-12,187.1499939,172.3399963,147.5299988,415.2600098
2024-02-13,185.0399933,168.6399994,145.1399994,406.3200073
2024-02-14,184.1499939,170.9799957,145.9400024,409.4899902
2024-02-15,183.8600006,169.8000031,142.7700043,406.5599976
2024-02-16,182.3099976,169.5099945,140.5200043,404.0599976
2024-02-20,181.5599976,167.0800018,141.1199951,402.7900085
2024-02-21,182.3200073,168.5899963,142.5500031,402.1799927
2024-02-22,184.3699951,174.5800018,144.0899963,411.6499939
2024-02-23,182.5200043,174.9900055,143.9600067,410.3399963
2024-02-26,181.1600037,174.7299957,137.5700073,407.5400085
2024-02-27,182.6300049,173.5399933,138.8800049,407.480011
2024-02-28,181.4199982,173.1600037,136.3800049,407.7200012
2024-02-29,180.75,176.7599945,138.4600067,413.6400146
2024-03-01,179.6600037,178.2200012,137.1399994,415.5
2024-03-04,175.1000061,177.5800018,133.3500061,414.9200134
2024-03-05,170.1199951,174.1199951,132.6699982,402.6499939
2024-03-06,169.1199951,173.5099945,131.3999939,402.0899963
2024-03-07,169.0,176.8200073,134.3800049,409.1400146
2024-03-08,170.7299957,175.3500061,135.4100037,406.2200012
2024-03-11,172.75,171.9600067,137.6699982,404.519989
2024-03-12,173.2299957,175.3899994,138.5,415.2799988
2024-03-13,171.1300049,176.5599976,139.7899933,415.1000061
2024-03-14,173.0,178.75,143.1000061,425.2200012
2024-03-15,172.6199951,174.4199982,141.1799927,416.4200134
2024-03-18,173.7200012,174.4799957,147.6799927,417.3200073
2024-03-19,176.0800018,175.8999939,147.0299988,421.4100037
2024-03-20,178.6699982,178.1499939,148.7400055,425.230011
2024-03-21,171.3699951,178.1499939,147.6000061,429.3699951
2024-03-22,172.2799988,178.8699951,150.7700043,428.7399902
2024-03-25,170.8500061,179.7100067,150.0700073,422.8599854
2024-03-26,169.7100067,178.3000031,150.6699982,421.6499939
2024-03-27,173.3099976,179.8300018,150.8699951,421.4299927
2024-03-28,171.4799957,180.3800049,150.9299927,420.7200012
2024-04-01,170.0299988,180.9700012,155.4900055,424.5700073
2024-04-02,168.8399963,180.6900024,154.5599976,421.4400024
2024-04-03,169.6499939,182.4100037,154.9199982,420.4500122
2024-04-04,168.8200073,180.0,150.5299988,417.8800049
2024-04-05,169.5800018,185.0700073,152.5,425.519989
2024-04-08,168.4499969,185.1900024,154.8500061,424.5899963
2024-04-09,169.6699982,185.6699982,156.6000061,426.2799988
2024-04-10,167.7799988,185.9499969,156.1399994,423.2600098
2024-04-11,175.0399933,189.0500031,159.4100037,427.9299927
2024-04-12,176.5500031,186.1300049,157.7299957,421.8999939
2024-04-15,172.6900024,183.6199951,154.8600006,413.6400146
2024-04-16,169.3800049,183.3200073,154.3999939,414.5799866
2024-04-17,168.0,181.2799988,155.4700012,411.8399963
2024-04-18,167.0399933,179.2200012,156.0099945,404.269989
2024-04-19,165.0,174.6300049,154.0899963,399.1199951
2024-04-22,165.8399963,177.2299957,156.2799988,400.9599915
2024-04-23,166.8999939,179.5399933,158.2599945,407.5700073
2024-04-24,169.0200043,176.5899963,159.1300049,409.0599976
2024-04-25,169.8899994,173.6699982,156.0,399.0400085
2024-04-26,169.3000031,179.6199951,171.9499969,406.3200073
2024-04-29,173.5,180.9600067,166.1499939,402.25
2024-04-30,170.3300018,175.0,162.7799988,389.3299866
2024-05-01,169.3000031,179.0,163.8600006,394.9400024
2024-05-02,173.0299988,184.7200012,166.6199951,397.8399963
2024-05-03,183.3800049,186.2100067,167.2400055,406.6600037
2024-05-06,181.7100067,188.6999969,168.1000061,413.5400085
